bond_type,currency,time_to_maturity_days,coupon_type,label
Agency,USD,653,fixed,D
Agency,USD,410,fixed,D
Agency,CAD,331,floating,C
Agency,USD,184,fixed,B
Agency,USD,1890,fixed,D
Agency,CAD,388,fixed,C
Agency,USD,356,floating,A
Agency,USD,328,fixed,B
Agency,USD,1432,fixed,D
Agency,USD,426,fixed,D
Agency,USD,1035,fixed,D
Agency,CAD,421,fixed,C
Agency,USD,366,fixed,D
Agency,CAD,391,fixed,C
Agency,USD,350,fixed,B
Agency,USD,605,fixed,D
Agency,USD,1984,fixed,D
Agency,USD,495,fixed,D
Agency,CAD,419,fixed,C
Agency,USD,181,fixed,B
Agency,USD,71,floating,A
Agency,USD,391,floating,A
Agency,CAD,313,floating,C
Agency,CAD,65,fixed,C
Agency,USD,356,fixed,B
Agency,USD,342,fixed,B
Agency,USD,339,fixed,B
Agency,USD,425,fixed,D
Agency,USD,1877,fixed,D
Agency,USD,387,fixed,D
Agency,USD,293,fixed,B
Agency,CAD,300,floating,C
Agency,USD,788,fixed,D
Agency,USD,201,fixed,B
Agency,USD,754,fixed,D
Agency,USD,281,fixed,B
Agency,USD,341,floating,A
Agency,USD,325,fixed,B
Agency,USD,356,floating,A
Agency,USD,354,floating,A
Agency,USD,301,fixed,B
Agency,CAD,429,fixed,C
Agency,USD,351,fixed,B
Agency,USD,1499,fixed,D
Agency,CAD,1510,fixed,C
Agency,USD,339,floating,A
Agency,USD,681,fixed,D
Agency,USD,383,floating,A
Agency,USD,345,fixed,B
Agency,USD,336,floating,A
Agency,USD,327,fixed,B
Agency,USD,389,fixed,D
Agency,USD,1200,fixed,D
Agency,USD,835,fixed,D
Agency,USD,1626,floating,A
Agency,USD,479,fixed,D
Agency,USD,303,fixed,B
Agency,USD,424,fixed,D
Agency,USD,332,fixed,B
Agency,USD,780,fixed,D
Agency,USD,348,fixed,B
Agency,USD,372,fixed,D
Agency,USD,418,fixed,D
Agency,USD,705,fixed,D
Agency,USD,407,floating,A
Agency,USD,993,fixed,D
Agency,USD,1564,fixed,D
Agency,USD,1949,fixed,D
Agency,USD,300,fixed,B
Agency,USD,1922,fixed,D
Agency,USD,413,fixed,D
Agency,USD,467,fixed,D
Agency,CAD,314,fixed,C
Agency,USD,407,fixed,D
Agency,USD,425,floating,A
Agency,USD,1090,fixed,D
Agency,USD,1307,fixed,D
Agency,USD,300,fixed,B
Agency,USD,1720,fixed,D
Agency,USD,399,fixed,D
Agency,USD,336,fixed,B
Agency,USD,1417,fixed,D
Agency,USD,324,fixed,B
Agency,USD,409,fixed,D
Agency,USD,283,floating,A
Agency,USD,1843,fixed,D
Agency,USD,1396,floating,A
Agency,USD,415,fixed,D
Agency,USD,354,floating,A
Agency,USD,1740,fixed,D
Agency,USD,1564,fixed,D
Agency,USD,376,floating,A
Agency,USD,313,fixed,B
Agency,USD,368,fixed,D
Agency,USD,328,floating,A
Agency,USD,312,fixed,B
Agency,USD,347,fixed,B
Agency,USD,379,fixed,D
Agency,USD,417,floating,A
Agency,CAD,333,floating,C
Agency,CAD,677,fixed,C
Agency,USD,355,fixed,B
Agency,USD,1959,fixed,D
Agency,CAD,252,fixed,C
Agency,USD,836,floating,A
Agency,USD,1716,fixed,D
Agency,USD,587,fixed,D
Agency,USD,331,fixed,B
Agency,USD,1126,fixed,D
Agency,CAD,355,floating,C
Agency,USD,1454,fixed,D
Agency,USD,400,fixed,D
Agency,USD,1724,floating,A
Agency,USD,378,floating,A
Agency,USD,468,fixed,D
Agency,CAD,306,floating,C
Agency,USD,1434,fixed,D
Agency,USD,372,floating,A
Agency,USD,775,fixed,D
Agency,USD,800,fixed,D
Agency,USD,410,fixed,D
Agency,USD,1043,fixed,D
Agency,USD,1596,fixed,D
Agency,USD,389,fixed,D
Agency,USD,365,fixed,B
Agency,USD,1153,fixed,D
Agency,USD,399,fixed,D
Agency,USD,81,fixed,B
Agency,USD,384,floating,A
Agency,USD,1744,floating,A
Agency,USD,1618,fixed,D
Agency,CAD,798,fixed,C
Agency,USD,428,fixed,D
Agency,USD,1920,fixed,D
Agency,USD,1796,floating,A
Agency,USD,1267,fixed,D
Agency,CAD,322,fixed,C
Agency,USD,100,fixed,B
Agency,USD,424,fixed,D
Agency,USD,1759,floating,A
Agency,USD,340,fixed,B
Agency,USD,409,fixed,D
Agency,CAD,409,fixed,C
Agency,USD,738,floating,A
Agency,USD,460,fixed,D
Agency,USD,1980,floating,A
Agency,USD,1008,floating,A
Agency,USD,1544,fixed,D
Agency,USD,390,floating,A
Agency,USD,1645,fixed,D
Agency,CAD,1186,fixed,C
Agency,CAD,307,fixed,C
Agency,USD,1059,fixed,D
Agency,USD,622,fixed,D
Agency,USD,1336,fixed,D
Agency,USD,314,fixed,B
Agency,USD,1963,fixed,D
Agency,USD,382,fixed,D
Agency,USD,357,fixed,B
Agency,USD,1610,fixed,D
Agency,USD,1843,floating,A
Agency,CAD,1817,floating,C
Agency,USD,1336,fixed,D
Agency,USD,1731,fixed,D
Agency,USD,777,fixed,D
Agency,USD,1433,fixed,D
Agency,CAD,553,fixed,C
Agency,USD,317,fixed,B
Agency,USD,1393,fixed,D
Agency,CAD,392,fixed,C
Agency,USD,1070,fixed,D
Agency,USD,1056,fixed,D
Agency,USD,1845,floating,A
Agency,CAD,407,fixed,C
Agency,USD,412,fixed,D
Agency,USD,375,fixed,D
Agency,USD,354,fixed,B
Agency,CAD,1661,fixed,C
Agency,CAD,7,fixed,C
Agency,USD,1725,fixed,D
Agency,CAD,348,fixed,C
Agency,CAD,307,fixed,C
Agency,USD,405,fixed,D
Agency,USD,180,fixed,B
Agency,USD,682,fixed,D
Agency,USD,1461,floating,A
Agency,USD,423,fixed,D
Agency,USD,1363,fixed,D
Agency,USD,1103,floating,A
Agency,USD,377,fixed,D
Agency,CAD,349,fixed,C
Agency,USD,1616,fixed,D
Agency,USD,307,fixed,B
Agency,CAD,1898,fixed,C
Agency,USD,366,floating,A
Agency,USD,754,floating,A
Agency,USD,414,fixed,D
Agency,CAD,944,fixed,C
Agency,USD,316,floating,A
Agency,USD,420,fixed,D
Agency,USD,745,fixed,D
Agency,CAD,1912,fixed,C
Agency,USD,591,fixed,D
Agency,USD,1501,fixed,D
Agency,USD,419,fixed,D
Agency,USD,1633,fixed,D
Agency,USD,385,fixed,D
Agency,USD,337,floating,A
Agency,USD,151,fixed,B
Agency,USD,391,fixed,D
Agency,USD,1113,fixed,D
Agency,USD,341,fixed,B
Agency,USD,331,floating,A
Agency,USD,371,floating,A
Agency,USD,1130,fixed,D
Agency,USD,419,fixed,D
Agency,USD,329,fixed,B
Agency,USD,402,fixed,D
Agency,CAD,412,fixed,C
Agency,USD,348,fixed,B
Agency,USD,324,fixed,B
Agency,USD,424,fixed,D
Agency,USD,1234,fixed,D
Agency,CAD,548,fixed,C
Agency,USD,361,fixed,B
Agency,CAD,875,fixed,C
